Tournament Name,Tournament Title,Level,Year,Start Date,End Date,Surface,indoor_outdoor,City,Country,Singles Draw Size,Doubles Draw Size,Prize Money,Prize Money Currency,Tournament ID,Match ID,Date,Round Name,Set 1 Score,Set 2 Score,Set 3 Score,Home Player,Home Country,Home Seed,Away Player,Away Country,Away Seed,ScoreString,WinnerFlag,winner_flag,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,PlayerCountryA,PlayerCountryB,PlayerIDA,PlayerIDB,ScoreSet1A,ScoreSet1B,ScoreSet2A,ScoreSet2B,ScoreSet3A,ScoreSet3B,ScoreSet4A,ScoreSet4B,ScoreSet5A,ScoreSet5B,ScoreTbSet1,ScoreTbSet2,ScoreTbSet3,ScoreTbSet4,SeedA,SeedB
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664774,2026-01-22T02:30:00+00:00,2,6-3,6-3,,Anna Kalinskaya,,31,Julia Grabher,AUT,,"6-3,6-3",2,A,Anna Kalinskaya,Julia Grabher,31,,,AUT,,AUT,323942,113079,6,3,6,3,,,,,,,,,,,31,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664776,2026-01-22T02:20:00+00:00,2,6-4,6-7(3),7-6(7),Maddison Inglis,AUS,,Laura Siegemund,DEU,,"6-4,6(7)-7,7-6(10)",2,A,Maddison Inglis,Laura Siegemund,,,AUS,DEU,AUS,DEU,321179,310926,6,4,6,7,7,6,,,,,,3,7,,,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664814,2026-01-22T01:35:00+00:00,2,4-6,4-6,,Janice Tjen,IDN,,Karolina Pliskova,CZE,,"4-6,4-6",3,B,Karolina Pliskova,Janice Tjen,,,CZE,IDN,IDN,CZE,460837,313974,4,6,4,6,,,,,,,,,,,,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664802,2026-01-22T00:30:00+00:00,2,6-0,6-2,,Jessica Pegula,USA,6,McCartney Kessler,USA,,"6-0,6-2",2,A,Jessica Pegula,McCartney Kessler,6,,USA,USA,USA,USA,316956,326678,6,0,6,2,,,,,,,,,,,6,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664812,2026-01-22T00:00:00+00:00,2,1-6,5-7,,Ashlyn Krueger,USA,,Madison Keys,USA,9,"1-6,5-7",3,B,Madison Keys,Ashlyn Krueger,9,,USA,USA,USA,USA,329409,316959,1,6,5,7,,,,,,,,,,,,9
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664816,2026-01-22T00:00:00+00:00,2,6-4,6-4,,Oksana Selekhmeteva,,,Paula Badosa,ESP,25,"6-4,6-4",2,A,Oksana Selekhmeteva,Paula Badosa,,25,,ESP,,ESP,329199,320124,6,4,6,4,,,,,,,,,,,,25
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664726,2026-01-21T11:55:00+00:00,2,6-1,6-2,,Iva Jovic,USA,29,Priscilla Hon,AUS,,"6-1,6-2",2,A,Iva Jovic,Priscilla Hon,29,,USA,AUS,USA,AUS,332285,320543,6,1,6,2,,,,,,,,,,,29,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664724,2026-01-21T09:25:00+00:00,2,2-6,3-6,,Magdalena Frech,POL,,Jasmine Paolini,ITA,7,"2-6,3-6",3,B,Jasmine Paolini,Magdalena Frech,7,,ITA,POL,POL,ITA,320277,319280,2,6,3,6,,,,,,,,,,,,7
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664804,2026-01-21T08:10:00+00:00,2,0-6,4-6,,Maria Sakkari,GRC,,Mirra Andreeva,,8,"0-6,4-6",3,B,Mirra Andreeva,Maria Sakkari,8,,,GRC,GRC,,318312,331809,0,6,4,6,,,,,,,,,,,,8
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664734,2026-01-21T07:45:00+00:00,2,4-6,6-4,6-4,Karolina Muchova,CZE,19,Alycia Parks,USA,,"4-6,6-4,6-4",2,A,Karolina Muchova,Alycia Parks,19,,CZE,USA,CZE,USA,322191,326007,4,6,6,4,6,4,,,,,,,,,19,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664732,2026-01-21T07:40:00+00:00,2,3-6,3-6,,Ann Li,USA,,Magda Linette,POL,,"3-6,3-6",3,B,Magda Linette,Ann Li,,,POL,USA,USA,POL,326096,315130,3,6,3,6,,,,,,,,,,,,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664806,2026-01-21T06:10:00+00:00,2,6-4,6-4,,Elena-Gabriela Ruse,ROU,,Ajla Tomljanovic,AUS,,"6-4,6-4",2,A,Elena-Gabriela Ruse,Ajla Tomljanovic,,,ROU,AUS,ROU,AUS,320408,315232,6,4,6,4,,,,,,,,,,,,
